date,RV,DRV
2020-12-15,6.072338797780952e-05,-3.814685303932366e-05
2020-12-16,2.3281268668315527e-05,-3.744211930949399e-05
2020-12-17,3.172499403470536e-05,8.443725366389834e-06
2020-12-18,4.9347030180326364e-05,1.7622036145621003e-05
2020-12-21,0.00011797418257418288,6.862715239385652e-05
2020-12-22,3.295502939763478e-05,-8.501915317654811e-05
2020-12-23,4.475588013978854e-05,1.1800850742153762e-05
2020-12-24,1.6940454984466302e-05,-2.7815425155322237e-05
2020-12-25,0.0,-1.6940454984466302e-05
2020-12-28,3.292305192925993e-05,3.292305192925993e-05
2020-12-29,5.707838014508687e-05,2.415532821582694e-05
2020-12-30,2.2812652672200707e-05,-3.426572747288616e-05
2020-12-31,1.537142224312035e-05,-7.4412304290803565e-06
